cluster_id,is_noise,count,share,mean__high_risk_shortage,mean__low_risk_shortage,mean__overstocking,mean__normal_inventory,mean__understocking,mean__unequal_supply_regions,mean__equal_supply_regions,mean__award_decision_lag_days,mean__log1p_Quantity,mean__log1p_Approved_Budget_of_the_Contract,mean__log1p_Item_Budget,mean__log1p_Contract_Amount,z__high_risk_shortage,z__low_risk_shortage,z__overstocking,z__normal_inventory,z__understocking,z__unequal_supply_regions,z__equal_supply_regions,z__award_decision_lag_days,z__log1p_Quantity,z__log1p_Approved_Budget_of_the_Contract,z__log1p_Item_Budget,z__log1p_Contract_Amount
29,False,66,0.00013535546190051375,0.4635928484848485,0.5364071500000002,0.44815188590909094,0.9846110257575756,0.5518481150000001,0.0,1.0,0.9997858166666667,0.0,0.35043658833333335,0.7806450131818182,0.5882630300000001,1.0395551517619754,-1.039555156039868,-0.04977438294556691,1.218474865501098,0.049774387397191776,-2.7091081920039723,2.7091083046884674,5.394522070443568,-0.7907409497238505,-0.35873688649096347,0.6449204383654008,0.07314161604324503
30,False,37,7.588109227756073e-05,0.11368676567567569,0.8863132372972974,0.5651771054054056,0.6912461675675675,0.43482289189189194,0.6393880227027027,0.3606119624324324,0.01844162091891892,0.511569398918919,0.35621339756756765,0.6250426343243243,0.5388971354054054,-0.7688792649983476,0.7688792782177815,0.4973602870435472,0.006784133005435121,-0.4973602998695987,-0.2516586768736339,0.25165867395952735,-0.4286189737819899,1.091905821687777,-0.3340001103351011,-0.18331505772721113,-0.20141402406843595
31,False,42,8.613529393669055e-05,0.4632251802380952,0.5367748171428571,0.21726676333333333,0.5561114914285714,0.7827332302380952,0.0,1.0,0.9995733166666667,0.0,0.12516735864285713,0.6537398354761906,0.58826303,1.0376549164015598,-1.0376549263907544,-1.1292447389047076,-0.5513653185910183,1.1292447098220633,-2.7091081920039723,2.7091083046884674,5.3932611290967305,-0.7907409497238505,-1.3233584074222293,-0.030566489183454455,0.07314161604324441
32,False,33,6.767773095025687e-05,0.07299545087878788,0.9270045490909091,0.4917181357575757,0.8321049048484849,0.5082818615151515,0.6981101078787879,0.30188987575757575,0.02084709972727273,0.06736114527272728,0.27831810727272727,0.7249456481818182,0.6149191545454545,-0.9791859094302843,0.9791859064650297,0.1539133848373825,0.588575788650106,-0.15391339753271194,-0.02596386461639594,0.025963850572235648,-0.41434524348365487,-0.5428425356781943,-0.6675542024800173,0.34844559304784967,0.2213935498444258
33,False,39,7.998277294121266e-05,0.47714042615384616,0.5228595705128205,0.4667499056410256,0.990390162051282,0.5332500941025643,0.0,1.0,0.9998110564102566,0.0,0.37308075025641024,0.7934310894871794,0.58826303,1.109573670799012,-1.1095736842532453,0.03717799733861233,1.2423445475486252,-0.03717799839830037,-2.7091081920039723,2.7091083046884674,5.394671839084867,-0.7907409497238505,-0.26177270747519193,0.7129777671132307,0.07314161604324441
34,False,38,7.79319326093867e-05,0.46297378815789475,0.5370262036842105,0.5046804226315788,0.9201022157894737,0.4953195721052634,0.0,1.0,0.9994941049999999,0.0,0.4227593602631579,0.8214181768421054,0.58826303,1.0363556360738626,-1.0363556746938094,0.21451670249520768,0.9520328394011389,-0.2145167270900422,-2.7091081920039723,2.7091083046884674,5.392791099611308,-0.7907409497238505,-0.049044780060051835,0.8619465640544607,0.07314161604324441
35,False,34,6.972857128208283e-05,0.111407486,0.8885925029411766,0.0,0.1343008,1.0,0.7544573376470588,0.24554265499999997,0.0237053015,0.0,0.3880649402941176,0.0,0.7323967976470588,-0.7806593626114611,0.7806593032726458,-2.1450444047171686,-2.293578441270331,2.1450444064167824,0.19060333332337517,-0.19060331788792453,-0.3973851268114769,-0.7907409497238505,-0.19760916323989391,-3.5102725253424802,0.8747626372569366
36,False,27,5.537268895930107e-05,0.09216263655555557,0.9078373596296296,0.8377212129629629,0.3017226503703703,0.16227879851851854,0.7656253162962963,0.2343746742592592,0.020732497481481486,0.55736027,0.3511778307407407,0.7810917948148147,0.7024129525925927,-0.8801233324895856,0.8801233102768499,1.771601266789608,-1.6020726291472525,-1.7716012142107382,0.23352678941275457,-0.23352678303708457,-0.41502527506087217,1.2604226168344446,-0.35556282503838743,0.6472985537269199,0.7080030993301233
37,False,61,0.0001251012602413839,0.07143009036065574,0.9285699022950819,0.0,0.1343008,1.0,0.7694654596721312,0.23053453090163933,0.020719227311475408,0.0,0.1520811319672131,0.0,0.5405325214754099,-0.9872762284464639,0.9872761876546687,-2.1450444047171686,-2.293578441270331,2.1450444064167824,0.24828615014817526,-0.2482861440536439,-0.4151040181481203,-0.7907409497238505,-1.2081113983486365,-3.5102725253424802,-0.1923185853456671
38,False,155,0.00031788025143302467,0.1196171494,0.8803828518064515,0.6463565427096775,0.6323727086451613,0.35364344935483877,0.7227097338064515,0.27729025170967747,0.02147985449032258,0.35143516051612905,0.29793288070967744,0.7172312747741936,0.6089893288387096,-0.7382290118059438,0.7382290159919762,0.8769031311462541,-0.23638209012835343,-0.8769031687088343,0.06858332216510138,-0.06858333123391451,-0.41059057692770984,0.5025894795481359,-0.5835621161597035,0.3073837665306653,0.18841395723223558
