row_index,cluster_id,PC1,PC2,PC3,log1p_Approved_Budget_of_the_Contract,log1p_Item_Budget,log1p_Contract_Amount,log1p_Quantity,award_decision_lag_days,high_risk_shortage,low_risk_shortage,overstocking,understocking,normal_inventory,unequal_supply_regions,equal_supply_regions
223,0,0.9800966438372292,-0.0431271571044558,-0.3491518933287398,0.37645155,0.79533005,0.7232766,0.3270232,0.0,0.5723757,0.4276243,0.7677,0.23229998,0.43173575,0.0,1.0
224,0,0.9735575871523688,0.4996079553268848,-0.277476437741743,0.3802568,0.7974738,0.72636515,0.5217986,0.0,0.5723757,0.4276243,0.84802246,0.15197751,0.28259555,0.0,1.0
228,0,1.680498329193991,-0.7685867403586146,-0.3257519573529707,0.49149242,0.86013985,0.7919402,0.0,0.0,0.5723757,0.4276243,0.5371626,0.4628374,0.8597903,0.0,1.0
230,0,0.968129466609338,-0.95887667852956,-0.4746393016120679,0.3664682,0.7897058,0.71517354,0.0,0.0,0.5723757,0.4276243,0.46148422,0.5385158,1.0,0.0,1.0
234,0,1.7332772353089332,-0.4035939091409642,-0.3906212780267768,0.5945394,0.9181927,0.701247,0.0,0.0,0.5723757,0.4276243,0.5694596,0.43054038,0.7998223,0.0,1.0
235,0,1.1773379777405115,-0.9177539146387574,-0.4277210804960621,0.39923996,0.80816823,0.74177295,0.0,0.0,0.0,1.0,0.48439795,0.51560205,0.95776206,0.0,1.0
237,0,2.547072088708373,-0.6485138628611634,-0.1205370120471791,0.613804,0.9290457,0.9159252,0.0,0.0,0.5723757,0.4276243,0.5733555,0.4266445,0.7925885,0.0,1.0
244,0,2.5816664430907,-0.641713858601831,-0.1127786342624331,0.6192231,0.93209857,0.92032367,0.0,0.0,0.5723757,0.4276243,0.5742996,0.42570043,0.79083556,0.0,1.0
246,0,1.566607923490947,-0.5754974222052667,-0.3072610400295716,0.46446848,0.84491557,0.7911172,0.092521794,0.0,0.5723757,0.4276243,0.70622283,0.29377717,0.54588467,0.0,1.0
247,0,1.9825396502720083,-0.7592117544287998,-0.2472002458176893,0.5254438,0.8792668,0.844075,0.0,0.0,0.5723757,0.4276243,0.55045563,0.44954437,0.8351083,0.0,1.0
249,0,1.046270932693017,-0.9435170111006224,-0.4571148747453023,0.37870875,0.7966017,0.7251087,0.0,0.0,0.5723757,0.4276243,0.47042662,0.5295734,0.98370355,0.0,1.0
252,0,1.4942270138773726,-0.8553818172088447,-0.3566717342703033,0.44890177,0.8361458,0.7820404,0.0,0.0,0.5723757,0.4276243,0.5198477,0.48015228,0.89194006,0.0,1.0
255,0,1.531409868658158,-0.768078570318273,-0.3656361590270372,0.47610655,0.851472,0.7647957,0.0,0.0,0.5723757,0.4276243,0.53152156,0.46847847,0.8702645,0.0,1.0
256,0,2.400564860929726,-0.4441043460166605,-0.1352700545260613,0.6026713,0.9227739,0.8883456,0.06999003,0.0,0.5723757,0.4276243,0.73966604,0.26033393,0.4837883,0.0,1.0
258,0,1.89762270825169,-0.7730594653036185,-0.2668592715708472,0.51290196,0.87220114,0.8324973,0.0,0.0,0.5723757,0.4276243,0.5460962,0.4539038,0.8432027,0.0,1.0
263,0,1.2851605860047224,-0.8965598701200669,-0.4035402036127072,0.41613,0.81768346,0.75548184,0.0,0.0,0.5723757,0.4276243,0.4965309,0.5034691,0.93523395,0.0,1.0
267,0,2.540591442499226,-0.5354353072814764,-0.1066160505017585,0.613804,0.9290457,0.9159252,0.040941544,0.0,0.5723757,0.4276243,0.7219607,0.2780393,0.5166631,0.0,1.0
269,0,2.328438595725597,-0.2346642415523988,-0.2683825215752819,0.7016521,0.978536,0.76265055,0.0,0.0,0.5723757,0.4276243,0.5854532,0.41454682,0.77012587,0.0,1.0
272,0,1.093482627388123,-0.6541694626385984,-0.5071069910349262,0.4609583,0.84293807,0.6541847,0.0,0.0,0.5723757,0.4276243,0.52462846,0.47537154,0.8830633,0.0,1.0
275,0,2.423083150486526,-0.6726711391238225,-0.1483897703030215,0.5944389,0.91813606,0.900102,0.0,0.0,0.0,1.0,0.568707,0.43129298,0.80121964,0.0,1.0
279,0,2.4705618984648265,-0.6187107278008006,-0.1473952238721495,0.613804,0.9290457,0.89388055,0.0,0.0,0.5723757,0.4276243,0.5733555,0.4266445,0.7925885,0.0,1.0
280,0,1.982998128684284,-0.7593903462477434,-0.2470393011085613,0.5254438,0.8792668,0.8442071,0.0,0.0,0.5723757,0.4276243,0.55045563,0.44954437,0.8351083,0.0,1.0
