cluster_id,cluster_label,rationale_short
100,"Overstocking-heavy procurement segment · mean PC=(3.59,0.07,0.30)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.67; high_risk_shortage=-0.67; understocking=-0.63; overstocking=0.63; normal_inventory=0.27
101,"Overstocking-heavy procurement segment · mean PC=(-0.50,-0.03,-0.53)",Strongest theme deviations vs cohort (z): high_risk_shortage=-1.04; low_risk_shortage=1.04; normal_inventory=0.52; understocking=-0.38; overstocking=0.38
102,"Mixed procurement profile segment · mean PC=(-0.50,0.30,-0.48)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.73; high_risk_shortage=-0.73; normal_inventory=0.31; unequal_supply_regions=-0.13; equal_supply_regions=0.13
103,"Overstocking-heavy procurement segment · mean PC=(0.71,0.40,-0.23)",Strongest theme deviations vs cohort (z): overstocking=0.98; understocking=-0.98; high_risk_shortage=-0.85; low_risk_shortage=0.85; normal_inventory=-0.68
104,"High shortage-risk segment · mean PC=(0.79,-0.22,-0.29)",Strongest theme deviations vs cohort (z): low_risk_shortage=-0.98; high_risk_shortage=0.98; normal_inventory=0.44; understocking=-0.33; overstocking=0.33
105,"Strong understocking / lean-stock segment · mean PC=(-2.01,0.42,-0.09)",Strongest theme deviations vs cohort (z): understocking=0.66; overstocking=-0.66; low_risk_shortage=0.50; high_risk_shortage=-0.50; normal_inventory=0.22
106,"Strong understocking / lean-stock segment · mean PC=(-0.24,-0.33,-0.53)",Strongest theme deviations vs cohort (z): understocking=0.67; overstocking=-0.67; unequal_supply_regions=-0.48; equal_supply_regions=0.48; high_risk_shortage=-0.35
107,"Mixed procurement profile segment · mean PC=(-0.26,-0.63,-0.56)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.97; high_risk_shortage=-0.97; normal_inventory=0.53; equal_supply_regions=-0.13; unequal_supply_regions=0.13
108,"Mixed procurement profile segment · mean PC=(-0.64,-0.17,-0.57)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.91; high_risk_shortage=-0.91; normal_inventory=0.62; overstocking=0.16; understocking=-0.16
109,"Mixed procurement profile segment · mean PC=(0.90,-0.78,-0.34)",Strongest theme deviations vs cohort (z): normal_inventory=0.94; low_risk_shortage=0.73; high_risk_shortage=-0.73; understocking=-0.11; overstocking=0.11
110,"Moderate understocking segment · mean PC=(-0.51,-0.42,-0.57)",Strongest theme deviations vs cohort (z): low_risk_shortage=0.83; high_risk_shortage=-0.83; overstocking=-0.46; understocking=0.46; normal_inventory=0.23
111,"Mixed procurement profile segment · mean PC=(0.01,-0.67,-0.50)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.71; low_risk_shortage=0.71; normal_inventory=0.49; overstocking=0.26; understocking=-0.26
112,"Strong understocking / lean-stock segment · mean PC=(-1.48,-1.40,-0.90)",Strongest theme deviations vs cohort (z): overstocking=-1.54; understocking=1.54; normal_inventory=-1.22; low_risk_shortage=1.04; high_risk_shortage=-1.04
113,"Moderate understocking segment · mean PC=(-0.58,-1.15,-0.81)",Strongest theme deviations vs cohort (z): normal_inventory=0.59; overstocking=-0.43; understocking=0.43; high_risk_shortage=0.12; low_risk_shortage=-0.12
114,"Severe surplus / extreme overstocking segment · mean PC=(1.28,0.71,-0.19)",Strongest theme deviations vs cohort (z): normal_inventory=-2.14; understocking=-2.10; overstocking=2.10; high_risk_shortage=-1.23; low_risk_shortage=1.23
115,"Strong understocking / lean-stock segment · mean PC=(-0.94,-1.34,-0.78)",Strongest theme deviations vs cohort (z): understocking=1.31; overstocking=-1.31; low_risk_shortage=1.02; high_risk_shortage=-1.02; normal_inventory=-0.85
